numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0542475X;610;06;ministère de l'éducation nationale;38;ministère de l'enseignement supérieur, de la recherche et de l'innovation;PU;1;UAI célibataire;54395;Nancy;CFA;METIERS DES ARTS DE LA SCENE;20000547800025;39798;;;1 rue Sainte Catherine;;54000;NANCY
0542486J;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;54304;Laxou;CTR FORMATION APPRENTIS AGRIC;;;38961;;;3  RUE DU MOUZON;BP11019;54520;LAXOU
0542492R;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;54252;Haroué;CTR FORMATION APPRENTIS AGRIC;CFA AGRICULTURES TERRITOIRES;78334630700037;40725;;;2 RUE LES TERRES NOIRES;;54740;HAROUE
0542494T;600;21;ministère du redéploiement industriel;;;PR;3;UAI fille;54578;Villers-lès-Nancy;CFA;CENTRE SUP.FORM.APPRENTIS;53824313000019;40909;;;2 BIS RUE DE LA CREDENCE;;54600;VILLERS LES NANCY
0542500Z;600;06;ministère de l'éducation nationale;35;ministère de la santé et de la solidarité nationale;PU;3;UAI fille;54395;Nancy;CTR DE FORMATION D'APPRENTIS;MÉTIERS DU SANITAIRE ET SOCIAL;17540430000394;41883;;;28  RUE DE SAURUPT;BP3039;54012;NANCY CEDEX
0542501A;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54395;Nancy;CTR FORMATION APPRENTIS SANSOC;SANT'EST;79987000100028;41590;;;4  RUE MONSEIGNEUR THOUVENIN;;54000;NANCY
0542507G;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;54395;Nancy;CTR FORMATION D APPRENTIS CNAM;CFA CNAM GRAND EST;43434871000014;42005;;;4  RUE DU DOCTEUR HEYDENREICH;CS65228;54052;NANCY CEDEX
0542524A;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54357;Maxéville;CTR DE FORMATION D APPRENTIS;CIRFAP GRAND-EST;81509146700028;43217;;Maison de l'entreprise;8 rue Alfred Kastler;;54320;MAXEVILLE
0550861M;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;55029;Bar-le-Duc;CTR DE FORMATION D APPRENTIS;EUROPEEN LOUIS PRIOUX;30019718300019;27444;;;4 parc BRADFER;BP259;55006;BAR LE DUC CEDEX
0550969E;600;03;ministère de l'agriculture;;;PU;4;UAI mère et fille;55029;Bar-le-Duc;CTR FORMATION APPRENTIS AGRIC.;CFA AGR BAR LE DUC;19550752000011;30926;;8 AVENUE KENNEDY;CHEMIN DE POPEY;;55000;BAR LE DUC
0551027T;600;03;ministère de l'agriculture;;;PR;2;UAI mère;55551;Vigneulles-lès-Hattonchâtel;CTR DE FORMATION D APPRENTIS;MAISONS FAMILIALES DE LORRAINE;78341511000015;35674;;;Rue DU CHATEAU DES QUATRE VENTS;;55210;VIGNEULLES LES HATTONCHATE
0560808Z;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;56121;Lorient;CTRE DE FORMATION D'APPRENTIS;VILLE DE LORIENT;21560121200487;25254;;;RUE ST MARCEL;BP30010;56315;LORIENT CEDEX
0560810B;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;56260;Vannes;CTRE DE FORMATION D'APPRENTIS;CH DE METIERS DU MORBIHAN;13002794900218;25260;;;10  BOULEVARD DES ILES;CS82311;56008;VANNES CEDEX
