id_etablissement_mna,siren,siret_siege_social,siret,RAISON_SOCIALE,REFERENCABLE,QUALIOPI
5e8df88020ff3b216126797c,421173220,42117322000011,42117322000011,MAISON FAMILIALE RURALE LE GRAND MAS,OUI,
5e8df88520ff3b21612679cc,420720567,42072056700189,42072056700189,IDRAC SOCIETE A RESPONSABILITE LIMITEE,OUI,
5e8df88220ff3b216126799a,480176817,48017681700017,48017681700017,ECO COM,OUI,
5e8df88120ff3b216126797e,194007506,19400750600018,19400750600034,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DES LANDES,OUI,
5e8df88020ff3b2161267970,499179307,49917930700024,49917930700024,MIDISUP,OUI,
5e8df87f20ff3b2161267966,524991320,52499132000044,52499132000044,ASS POUR DEVELOPPEMENT DE L APPRENTISSAGE DANS LES PROFESSIONS SANITAIRES SOCIALES ET MEDICO SOCIALES EN AQUITAINE,PAS DANS DATADOCK,
5e8df88120ff3b2161267984,306772716,30677271600024,30677271600024,CENTRE FORMATION BOURGOGNE FRANCHE COMTE,OUI,
5e8df88420ff3b21612679c0,775913221,77591322100013,77591322100013,ORGANISM GESTION ENSEIGNEMENT CATHOLIQUE,OUI,
5e8df87e20ff3b2161267960,null,null,19170032700000,null,PAS DANS DATADOCK,
5e8df88020ff3b2161267972,338730666,33873066600017,33873066600017,STARTEVO,OUI,
5e8df88220ff3b21612679a0,670801570,67080157000037,67080157000037,INSTIT SUPER SECRET ETUD COMPT,OUI,
5e8df87f20ff3b2161267968,198801532,19880153200013,19880153200047,LYCEE POLYVALENT ANDRE MALRAUX,OUI,
5e8df88320ff3b21612679ac,192025997,19202599700037,19202599700078,LYCEE PROFESSIONNEL AGRICOLE DE BORGO MARANA,OUI,
5e8df88120ff3b2161267982,420219420,42021942000031,42021942000031,FCF-ARGOS,OUI,
5e8df87f20ff3b216126796a,351191119,35119111900160,35119111900277,AFTEC,OUI,
5e8df88120ff3b2161267988,334710498,33471049800018,33471049800018,MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DU BLAYAIS,OUI,
5e8df88320ff3b21612679a6,423743020,42374302000020,42374302000020,D.G. FORMATION PLUS,OUI,
5e8df88320ff3b21612679b0,780253399,78025339900015,78025339900015,OGEC DE CHARLEVILLE MEZIERES,OUI,
5e8df88120ff3b216126798c,652051343,65205134300083,65205134300083,ECOLE D' ASSAS CENTRE D'ENSEIGNEMENT PRATIQUE MASSOTHERAPIE ET PEDICURIE,OUI,
5e8df88120ff3b2161267980,301029468,30102946800032,30102946800032,CFA DU ROANNAIS,OUI,
5e8df88520ff3b21612679c6,818908188,81890818800019,81890818800035,GROUPE DE LA SALLE - REIMS,OUI,
5e8df88520ff3b21612679ce,781308754,78130875400014,78130875400014,MAISON FAMILIALE RURALE EDUC ET ORIENTAT,OUI,
5e8df88320ff3b21612679ae,443642731,44364273100014,44364273100014,PLATE-FORME,OUI,
5e8df88220ff3b2161267994,195602743,19560274300013,19560274300039,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE SAINT JEAN BREVELAY - HENNEBONT,NON,
5e8df88220ff3b2161267996,198700569,19870056900017,19870056900025,LYCEE POLYVALENT TURGOT,OUI,
5e8df88420ff3b21612679b6,753608348,75360834800011,75360834800011,LAZARO*/NATHALIE SEVERINE /,OUI,
5e8df88520ff3b21612679c8,191100239,19110023900018,19110023900034,LYCEE POLYVALENT LOUISE MICHEL,OUI,
5e8df88520ff3b21612679ca,453206211,45320621100048,45320621100048,INSTIT INTERNAT INGEN INFORMAT MANAGEM,OUI,QUALIOPI
5e8df88320ff3b21612679aa,409003423,40900342300038,40900342300038,CTRE FORMAT INGENIEURS PAR L'ALTERNANCE,OUI,QUALIOPI
5e8df88320ff3b21612679a2,781424262,78142426200033,78142426200033,MAISON FAMILIALE RURALE EDUCA ORIENTATIO,OUI,
5e8df88020ff3b2161267978,781494364,78149436400016,78149436400016,MAISON FAMIL RURALE EDUCATION ORIENTATIO,OUI,
5e8df88320ff3b21612679a8,418846762,41884676200106,41884676200049,BTP CFA AUVERGNE RHONE ALPES,OUI,
5e8df88120ff3b216126798a,322959610,32295961000021,32295961000021,MAISON FAMILIALE RURALE,OUI,
5e8df87d20ff3b2161267958,null,null,13001405300000,null,PAS DANS DATADOCK,
5e8df88020ff3b2161267974,329224562,32922456200630,32922456200234,LA COMPAGNIE DE FORMATION,OUI,QUALIOPI
5e8df88520ff3b21612679c2,788343028,78834302800031,78834302800031,MFREO DE L IREO,OUI,
5e8df88220ff3b216126799c,315503391,31550339100429,31550339100429,IRFA SUD,OUI,
5e8df87e20ff3b216126795c,null,null,33809616600029,null,PAS DANS DATADOCK,
5e8df88020ff3b2161267976,785740291,78574029100253,78574029100261,INST NAT FORMAT APPLIC CTRE CULTURE OUVR,OUI,
5e8df87e20ff3b216126795a,null,null,45019707400000,null,PAS DANS DATADOCK,
5e8df88020ff3b216126797a,502809197,50280919700028,50280919700028,CIL,OUI,
5e8df88420ff3b21612679be,305950875,30595087500057,30595087500057,ASS NAT FORMATION PERFECT PROF EDITION,OUI,QUALIOPI
5e8df88620ff3b21612679d6,784713935,78471393500038,78471393500046,INSTITUT NATIONAL DU CYCLE ET MOTOCYCLE,OUI,QUALIOPI
5e8df88220ff3b2161267992,192807063,19280706300016,19280706300016,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE CHARTRES - LA SAUSSAYE,OUI,
5e8df88220ff3b2161267998,195412077,19541207700016,19541207700016,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE MEURTHE ET MOSELLE,OUI,
5e8df88220ff3b2161267990,779904838,77990483800066,77990483800066,SOC ENSEIGNEMENT PROFESS RHONE,OUI,
5e8df88420ff3b21612679b4,788352623,78835262300011,78835262300011,ASS MAISON FAMILIALE RURALE EDUCA ORIENT,OUI,
5e8df87e20ff3b216126795e,null,null,21340301700451,null,PAS DANS DATADOCK,
5e8df88420ff3b21612679b2,307035667,30703566700012,30703566700012,MAISON FAMILIALE RURALE TERNOIS,OUI,
5e8df88520ff3b21612679c4,193507001,19350700100017,19350700100025,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE RENNES - LE RHEU,OUI,
5e8df87f20ff3b2161267962,302914122,30291412200015,30291412200015,ASS DES MAISONS FAMILIALES,PAS DANS DATADOCK,
5e8df88220ff3b216126799e,481709798,48170979800054,48170979800054,H3 HITEMA,OUI,
5e8df88420ff3b21612679bc,402458384,40245838400011,40245838400011,UNION NATION RURALE EDUCATION PROMOT EST,OUI,
5e8df88120ff3b216126798e,196309843,19630984300015,19630984300031,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE MARMILHAT,OUI,
5e8df88020ff3b216126796e,392975199,39297519900010,39297519900010,MAISON FAMILIALE RURALE PAYS MONTBELIARD,OUI,
5e8df88320ff3b21612679a4,781444013,78144401300010,78144401300010,MAISON FAMIL RURALE EDUCAT ORIENTATION,OUI,
5e8df88120ff3b2161267986,783333297,78333329700050,78333329700050,OGEC CLAUDE DAUNOT - SAINT LEON IX,OUI,
5e8df88620ff3b21612679d4,775688112,77568811200033,77568811200033,GPT APPRENTISS REPARAT AUTOMOBILE CYCLE,OUI,QUALIOPI
5e8df87f20ff3b2161267964,334652138,33465213800010,33465213800010,MAISON FAMILIALE RURALE EDUCAT.ORIENTAT.,OUI,QUALIOPI
5e8df88420ff3b21612679b8,186930137,18693013700044,18693013700044,GIPAL FORMATION,OUI,
5e8df88420ff3b21612679ba,418846762,41884676200106,41884676200114,BTP CFA AUVERGNE RHONE ALPES,OUI,
5e8df87f20ff3b216126796c,393298740,39329874000027,39329874000027,INST FORM REG INDUST AGRO ALIMENT AUVERGNE RHONE ALPES,OUI,
5e8df88520ff3b21612679d2,195112198,19511219800013,19511219800054,LYCEE VITICOLE DE LA CHAMPAGNE,OUI,
5e8df88520ff3b21612679d0,850500752,85050075200017,85050075200017,ISC-NICE,OUI,
5e8df88820ff3b21612679fc,323961664,32396166400121,32396166400246,AFORMAC,OUI,
5e8df88820ff3b21612679f2,831380936,83138093600011,83138093600011,SAS L'ACADEMIE DE MANAGEMENT,OUI,
5e8df88b20ff3b2161267a36,393981808,39398180800016,39398180800016,ECOLE PRIVEE CATHERINE SERTIN,OUI,
5e8df88620ff3b21612679d8,817426745,81742674500029,81742674500029,LES FORMATIONS DU MARAIS,OUI,
5e8df88720ff3b21612679de,192026649,19202664900017,19202664900082,UNIVERSITE DE CORSE P PAOLI,OUI,
5e8df88720ff3b21612679e2,453989626,45398962600032,45398962600032,INST.DEVELOP. COMPETENCES PROF.IDC PRO,OUI,
5e8df88b20ff3b2161267a32,329224562,32922456200630,32922456200184,LA COMPAGNIE DE FORMATION,OUI,QUALIOPI
5e8df88c20ff3b2161267a50,786151126,78615112600038,78615112600038,JEANNE DELANOUE LES TROIS PROVINCES,OUI,
5e8df88a20ff3b2161267a1c,777538588,77753858800016,77753858800016,INSTITUT RURAL SUD FINISTERE,OUI,QUALIOPI
5e8df88c20ff3b2161267a40,781485156,78148515600017,78148515600017,MAISON FAMILIALE EDUCATION ORIENTATION,OUI,
